,연도,선수,팀,구종,투심_구사%,투심_구속,투심_상하_무브먼트,투심_좌우_무브먼트,투심_분당_회전수,투심_좌우_릴리스포인트,투심_상하_릴리스포인트,투심_타구_속도,투심_상하_각도,투심_피안타율,투심_피장타율,투심_땅볼%,투심_라인드라이브%,투심_뜬공%,투심_팝플라이%,투심_강한_타구%
110,2021,김동혁,키움,투심,14.7,128.8,-0.9,-25.7,1757.3,-91.7,120.3,141.3,9.9,0.469,0.551,42.1,39.5,13.2,5.3,31.6
111,2021,김태훈,SSG,투심,14.4,136.3,19.2,22.3,2142.6,49.3,181.9,139.8,18.2,0.313,0.438,44.0,16.0,24.0,16.0,36.0
112,2021,나균안,롯데,투심,13.7,139.5,26.0,-15.0,2264.7,-53.0,177.0,138.0,13.5,0.348,0.522,47.6,19.0,19.0,14.3,23.8
113,2021,이민우,KIA,투심,12.2,141.7,23.5,-21.1,2384.3,-46.8,187.0,130.3,19.3,0.321,0.357,19.2,42.3,26.9,11.5,23.1
114,2021,멩덴,KIA,투심,11.9,144.1,27.0,-14.6,2334.4,-45.0,178.3,129.0,17.7,0.37,0.574,28.9,37.8,17.8,15.6,24.4
115,2021,수아레즈,LG,투심,10.6,146.3,25.3,20.7,2544.2,50.4,189.7,133.2,18.0,0.314,0.412,31.7,34.1,22.0,12.2,19.5
116,2021,노경은,롯데,투심,10.6,137.8,23.0,-19.3,2225.2,-45.3,181.2,141.1,11.6,0.5,0.6,25.0,68.8,0.0,6.3,37.5
117,2021,윤중현,KIA,투심,9.8,133.4,-3.9,-26.6,1871.0,-104.3,121.1,134.9,-0.3,0.3,0.3,80.0,20.0,0.0,0.0,6.7
118,2021,프랑코,롯데,투심,9.8,146.0,20.6,-22.5,2374.0,-51.9,182.0,140.0,21.0,0.26,0.44,30.3,24.2,33.3,12.1,33.3
119,2021,뷰캐넌,삼성,투심,7.6,143.3,22.8,-18.9,2286.1,-56.7,186.2,130.6,12.7,0.36,0.46,39.5,34.2,15.8,10.5,18.4
120,2021,임기영,KIA,투심,5.1,133.7,7.4,-26.3,1929.0,-82.3,141.2,130.9,17.4,0.378,0.541,21.4,53.6,21.4,3.6,25.0
121,2021,폰트,SSG,투심,4.9,147.5,26.5,-17.8,2497.2,-57.1,200.6,139.4,5.4,0.227,0.227,53.3,33.3,13.3,0.0,33.3
