,연도,선수,팀,구종,커브_구사%,커브_구속,커브_상하_무브먼트,커브_좌우_무브먼트,커브_분당_회전수,커브_좌우_릴리스포인트,커브_상하_릴리스포인트,커브_타구_속도,커브_상하_각도,커브_피안타율,커브_피장타율,커브_땅볼%,커브_라인드라이브%,커브_뜬공%,커브_팝플라이%,커브_강한_타구%
99,2022,노바,SSG,커브,15.5,124.8,-9.3,7.5,876.9,-64.5,197.1,128.5,23.2,0.182,0.394,23.5,23.5,41.2,11.8,0.0
100,2022,뷰캐넌,삼성,커브,14.9,120.0,-23.4,9.9,1595.3,-55.9,193.1,134.7,10.0,0.252,0.359,42.9,40.8,14.3,2.0,18.4
101,2022,이의리,KIA,커브,14.0,124.6,-16.9,-5.9,1168.8,71.4,184.7,130.6,6.9,0.162,0.172,48.6,40.5,10.8,0.0,18.9
102,2022,브랜든,두산,커브,13.5,120.2,-14.1,-8.9,1087.7,63.1,195.3,128.9,23.1,0.25,0.25,17.6,35.3,23.5,23.5,0.0
103,2022,윤대경,한화,커브,13.5,109.6,-21.2,15.4,1493.1,-58.6,190.7,131.9,11.9,0.333,0.4,38.5,30.8,26.9,3.8,7.7
104,2022,폰트,SSG,커브,13.4,114.9,-16.4,13.3,1268.2,-72.3,212.3,123.8,16.5,0.168,0.186,37.3,27.5,23.5,11.8,2.0
105,2022,이승현,삼성,커브,13.1,119.5,-25.4,-3.5,1602.9,46.0,202.5,131.2,20.7,0.115,0.269,22.2,33.3,22.2,22.2,0.0
106,2022,김종수,한화,커브,13.0,120.1,-9.5,10.7,952.3,-42.5,184.8,134.1,26.5,0.438,0.688,6.3,43.8,31.3,18.8,31.3
107,2022,이태양,SSG,커브,12.9,114.6,-9.9,3.8,716.8,-21.7,201.6,127.0,20.1,0.182,0.212,27.6,34.5,20.7,17.2,6.9
108,2022,고영표,KT,커브,12.7,113.5,0.0,29.8,1818.5,-68.0,105.9,125.7,26.3,0.193,0.294,25.0,20.3,28.1,26.6,9.4
109,2022,고우석,LG,커브,12.1,131.9,-20.7,13.6,1731.5,-55.3,167.1,134.5,20.6,0.114,0.205,36.4,27.3,9.1,27.3,27.3
110,2022,김광현,SSG,커브,11.6,113.5,-12.0,-13.7,1138.8,43.7,185.3,125.8,13.2,0.179,0.179,29.7,45.9,18.9,5.4,10.8
111,2022,남지민,한화,커브,11.6,116.3,-14.1,9.6,1086.9,-48.1,190.9,129.4,20.5,0.158,0.211,23.3,43.3,23.3,10.0,3.3
112,2022,최원태,키움,커브,11.5,120.0,-7.7,7.0,743.5,-34.6,173.4,136.5,23.8,0.152,0.239,19.0,38.1,33.3,9.5,4.8
113,2022,애플러,키움,커브,11.5,124.6,-3.8,13.0,938.3,-37.3,183.0,130.9,12.9,0.386,0.409,43.3,33.3,20.0,3.3,20.0
114,2022,라미레즈,한화,커브,11.4,126.5,1.5,16.6,1130.2,-15.7,185.0,130.6,18.7,0.118,0.294,33.3,41.7,0.0,25.0,25.0
115,2022,곽빈,두산,커브,11.3,117.6,-20.3,14.6,1541.7,-40.1,185.9,128.3,15.3,0.137,0.192,36.4,30.3,27.3,6.1,9.1
116,2022,벤자민,KT,커브,11.1,118.6,-18.1,-8.1,1270.6,69.7,201.0,130.7,8.9,0.237,0.342,59.1,18.2,18.2,4.5,13.6
117,2022,장민재,한화,커브,10.9,111.8,-16.8,18.5,1466.9,-60.8,191.0,131.5,19.3,0.371,0.571,21.4,50.0,21.4,7.1,14.3
118,2022,이인복,롯데,커브,10.8,110.3,-9.8,12.1,929.0,-23.5,193.8,129.7,24.2,0.286,0.457,32.1,21.4,25.0,21.4,10.7
119,2022,김윤식,LG,커브,10.7,115.1,-14.6,-4.0,971.7,31.2,188.3,129.3,17.7,0.385,0.462,34.4,34.4,15.6,15.6,12.5
120,2022,노경은,SSG,커브,10.3,113.3,-21.5,10.1,1421.6,-40.6,197.7,127.7,16.5,0.158,0.158,42.9,28.6,21.4,7.1,0.0
121,2022,서준원,롯데,커브,10.3,116.6,2.4,14.2,941.4,-96.8,107.4,115.9,24.2,0.238,0.429,8.3,33.3,50.0,8.3,0.0
122,2022,김범수,한화,커브,10.2,117.9,-17.6,-6.2,1162.0,38.0,183.1,131.0,29.1,0.077,0.077,33.3,0.0,33.3,33.3,16.7
123,2022,소형준,KT,커브,9.4,121.3,-13.1,20.7,1608.8,-41.2,175.5,131.2,21.5,0.156,0.271,27.9,25.6,34.9,11.6,14.0
