,연도,선수,팀,구종,직구_구사%,직구_구속,직구_상하_무브먼트,직구_좌우_무브먼트,직구_분당_회전수,직구_좌우_릴리스포인트,직구_상하_릴리스포인트,직구_타구_속도,직구_상하_각도,직구_피안타율,직구_피장타율,직구_땅볼%,직구_라인드라이브%,직구_뜬공%,직구_팝플라이%,직구_강한_타구%
108,2023,오승환,삼성,직구,46.3,143.4,26.4,-19.3,2473.3,-68.8,168.0,138.7,18.3,0.323,0.473,29.7,39.2,23.0,8.1,36.5
109,2023,이명종,키움,직구,46.3,139.5,24.7,-19.4,2301.8,-36.4,163.2,138.6,20.2,0.312,0.431,25.6,36.6,24.4,13.4,26.8
110,2023,황동재,삼성,직구,46.3,139.6,28.2,-18.4,2490.3,-46.4,184.8,138.7,22.0,0.351,0.561,22.9,33.3,29.2,14.6,31.3
111,2023,조민석,NC,직구,45.9,143.4,28.3,-17.2,2476.3,-37.4,169.4,137.5,19.0,0.333,0.519,28.9,37.8,17.8,15.6,24.4
112,2023,고효준,SSG,직구,45.5,142.7,32.6,6.6,2505.1,46.2,169.4,132.2,28.1,0.178,0.211,21.6,29.4,19.6,29.4,11.8
113,2023,김기중,한화,직구,45.4,140.9,30.2,18.5,2639.7,38.9,185.1,132.7,21.7,0.265,0.388,33.8,28.2,18.3,19.7,25.4
114,2023,강효종,LG,직구,45.3,144.0,26.0,-17.8,2404.9,-53.7,171.2,124.8,7.7,0.333,0.375,46.7,40.0,13.3,0.0,0.0
115,2023,박신지,두산,직구,44.7,143.2,26.3,-18.0,2395.7,-61.4,177.6,138.5,23.3,0.413,0.619,21.8,41.8,21.8,14.5,29.1
116,2023,김상수,롯데,직구,44.3,142.2,25.8,-15.8,2291.0,-59.4,170.6,127.1,30.2,0.232,0.261,10.9,34.8,26.1,28.3,19.6
117,2023,김원중,롯데,직구,44.3,146.4,26.5,-22.7,2685.9,-53.1,185.1,140.3,15.0,0.255,0.362,37.5,32.1,21.4,8.9,33.9
118,2023,산체스,KIA,직구,43.7,143.9,26.6,-13.4,2247.7,-33.5,162.5,133.9,25.8,0.25,0.41,20.5,32.9,27.4,19.2,20.5
119,2023,김동주,두산,직구,43.5,142.9,25.6,-22.4,2579.8,-70.8,187.4,134.2,22.0,0.294,0.459,26.4,35.6,20.7,17.2,20.7
120,2023,구승민,롯데,직구,43.5,145.2,28.2,-16.0,2495.6,-35.2,172.9,138.6,20.6,0.266,0.372,33.9,27.4,27.4,11.3,29.0
121,2023,임준섭,SSG,직구,43.0,141.8,23.1,3.1,1784.2,39.1,184.6,139.4,15.1,0.373,0.458,35.7,35.7,19.0,9.5,31.0
122,2023,하준영,NC,직구,43.0,142.8,28.8,16.8,2486.7,62.9,170.8,134.8,16.6,0.286,0.357,36.7,32.7,16.3,14.3,18.4
123,2023,김대유,KIA,직구,43.0,136.6,16.7,24.6,2134.2,87.8,142.5,132.8,15.6,0.325,0.45,43.5,30.4,13.0,13.0,21.7
124,2023,곽빈,두산,직구,42.8,147.1,24.8,-19.8,2464.9,-46.9,172.8,136.3,26.4,0.267,0.378,21.0,26.1,31.9,21.0,25.4
125,2023,이재학,NC,직구,42.7,139.9,21.0,-25.9,2429.9,-60.7,156.1,136.5,28.9,0.262,0.383,15.6,27.3,28.6,28.6,20.8
126,2023,장필준,삼성,직구,42.6,145.0,27.0,-14.3,2343.6,-49.0,185.6,134.1,25.3,0.333,0.485,23.1,30.8,26.9,19.2,26.9
127,2023,김범수,한화,직구,42.6,147.3,24.4,21.9,2545.4,40.4,161.1,133.3,24.0,0.245,0.327,33.3,19.8,21.0,25.9,18.5
128,2023,진승현,롯데,직구,42.6,141.2,31.1,-4.3,2341.7,-16.2,177.8,140.6,23.1,0.457,0.652,24.3,35.1,24.3,16.2,21.6
129,2023,한승주,한화,직구,42.6,143.1,23.5,-9.8,1953.4,-41.4,179.7,140.2,16.7,0.366,0.557,34.1,39.8,13.6,12.5,30.7
130,2023,이태양,한화,직구,42.3,139.1,28.1,-13.6,2316.8,-15.0,186.3,131.7,26.9,0.254,0.422,18.3,28.6,30.2,23.0,20.6
131,2023,윤영철,KIA,직구,41.7,137.3,30.1,18.4,2508.2,60.7,179.2,137.5,23.0,0.342,0.513,27.9,30.5,21.4,20.1,24.0
132,2023,백승건,SSG,직구,41.6,141.8,31.2,8.2,2413.2,38.7,169.8,138.2,21.4,0.28,0.453,27.3,36.4,20.0,16.4,25.5
133,2023,김시훈,NC,직구,41.6,143.2,30.2,-11.5,2426.8,-34.0,183.0,142.4,14.8,0.297,0.446,35.3,39.2,13.7,11.8,33.3
134,2023,심재민,롯데,직구,41.4,139.0,25.3,8.8,2003.4,29.3,178.8,139.3,14.1,0.278,0.333,44.7,25.5,23.4,6.4,38.3
135,2023,김건국,KIA,직구,41.2,142.9,24.8,-13.4,2136.1,-26.4,179.8,142.7,17.5,0.357,0.571,31.8,40.9,13.6,13.6,31.8
