,연도,선수,팀,구종,포크_구사%,포크_구속,포크_상하_무브먼트,포크_좌우_무브먼트,포크_분당_회전수,포크_좌우_릴리스포인트,포크_상하_릴리스포인트,포크_타구_속도,포크_상하_각도,포크_피안타율,포크_피장타율,포크_땅볼%,포크_라인드라이브%,포크_뜬공%,포크_팝플라이%,포크_강한_타구%
72,2022,원종현,NC,포크,11.2,137.2,4.6,-16.1,1267.1,-54.6,152.8,134.9,17.2,0.133,0.2,38.5,38.5,7.7,15.4,23.1
73,2022,한현희,키움,포크,11.1,131.6,1.2,-23.0,1616.1,-88.0,130.7,130.9,23.3,0.148,0.185,33.3,20.0,26.7,20.0,13.3
74,2022,박세웅,롯데,포크,10.4,132.4,9.2,-10.8,1070.0,-26.9,169.4,128.9,15.7,0.288,0.348,22.2,63.0,11.1,3.7,11.1
75,2022,김재윤,KT,포크,10.0,131.5,17.6,-15.8,1713.7,-69.7,175.6,129.7,22.7,0.294,0.441,23.5,29.4,29.4,17.6,23.5
76,2022,정철원,두산,포크,9.1,132.7,16.2,-14.1,1567.5,-18.3,182.5,129.8,9.4,0.208,0.333,50.0,25.0,25.0,0.0,8.3
77,2022,곽빈,두산,포크,9.0,133.1,11.5,-19.3,1640.4,-39.9,178.1,130.9,16.0,0.327,0.442,25.9,44.4,18.5,11.1,14.8
78,2022,남지민,한화,포크,7.2,134.0,10.8,-6.7,1006.7,-46.7,183.0,130.8,22.3,0.292,0.75,18.8,43.8,25.0,12.5,6.3
79,2022,애플러,키움,포크,5.3,135.2,9.7,-5.3,865.2,-30.1,178.2,135.9,17.4,0.333,0.431,20.8,58.3,16.7,4.2,12.5
80,2022,최원준,두산,포크,5.0,122.3,-3.1,-10.6,803.0,-93.6,113.1,136.5,16.1,0.226,0.29,31.6,42.1,15.8,10.5,15.8
81,2022,루친스키,NC,포크,5.0,137.9,12.6,-11.3,1312.8,-69.8,174.9,128.7,20.2,0.281,0.313,26.3,36.8,21.1,15.8,10.5
82,2021,이대은,KT,포크,49.2,132.8,6.7,-19.5,1498.3,-55.8,177.5,133.6,15.3,0.197,0.393,47.4,21.1,18.4,13.2,21.1
83,2021,박진형,롯데,포크,41.7,123.6,9.4,-19.7,1476.5,-28.0,173.8,128.8,4.2,0.324,0.405,62.5,25.0,6.3,6.3,18.8
84,2021,김원중,롯데,포크,41.5,132.5,5.8,-19.4,1459.0,-50.7,185.1,133.1,14.0,0.114,0.143,44.4,31.1,11.1,13.3,20.0
85,2021,구승민,롯데,포크,40.0,131.9,8.8,-23.1,1751.6,-39.9,169.4,128.8,18.1,0.207,0.337,39.6,29.2,16.7,14.6,10.4
86,2021,장민재,한화,포크,38.8,123.8,10.5,-4.8,896.5,-61.7,185.0,130.6,10.0,0.214,0.232,37.5,47.5,7.5,7.5,5.0
87,2021,서진용,SSG,포크,37.9,130.8,9.7,-14.0,1240.7,-25.8,183.0,126.9,9.5,0.149,0.198,47.9,25.0,16.7,10.4,8.3
88,2021,김민우,한화,포크,34.6,131.1,14.4,1.7,1118.7,-21.3,192.9,136.8,8.2,0.205,0.269,50.4,29.8,15.7,4.1,19.8
89,2021,정수민,SSG,포크,34.1,131.4,8.8,-10.4,1012.6,-27.7,186.2,134.3,8.2,0.292,0.479,60.0,20.0,6.7,13.3,16.7
90,2021,홍성민,NC,포크,33.6,120.4,-0.5,-19.0,1255.8,-40.5,173.0,131.2,10.2,0.297,0.328,47.5,35.0,7.5,10.0,7.5
91,2021,김진성,NC,포크,32.4,125.7,15.8,-15.9,1548.6,-15.8,197.9,127.2,22.8,0.208,0.271,20.8,29.2,33.3,16.7,4.2
92,2021,이용찬,NC,포크,31.1,129.8,2.8,-21.4,1514.8,-59.8,173.0,130.6,16.1,0.12,0.16,39.1,30.4,8.7,21.7,17.4
93,2021,강동연,NC,포크,29.3,128.9,16.3,-21.1,1856.0,-38.6,190.3,132.4,20.0,0.229,0.371,32.0,36.0,16.0,16.0,16.0
94,2021,이태양,SSG,포크,29.2,129.7,17.0,-16.6,1682.5,-20.2,186.5,136.5,13.2,0.241,0.482,38.0,38.0,17.7,6.3,35.4
95,2021,김태훈,키움,포크,28.9,132.1,11.1,-11.7,1212.9,-22.7,186.7,132.3,10.6,0.123,0.148,43.9,29.3,24.4,2.4,17.1
96,2021,미란다,두산,포크,25.5,128.8,8.8,17.2,1366.7,27.3,188.3,125.8,20.0,0.123,0.164,30.6,27.8,25.0,16.7,12.5
97,2021,김상수,SSG,포크,24.6,129.1,8.0,-17.3,1359.7,-36.4,177.0,135.4,18.7,0.197,0.361,26.5,38.2,23.5,11.8,23.5
98,2021,조영우,SSG,포크,23.5,130.1,9.5,-12.6,1164.5,-20.2,182.7,137.2,12.5,0.257,0.329,35.9,41.0,12.8,10.3,30.8
99,2021,임창민,NC,포크,22.2,132.7,14.5,-20.2,1796.7,-53.2,181.5,139.1,11.9,0.302,0.419,44.4,25.9,14.8,14.8,25.9
100,2021,정찬헌,키움,포크,21.5,127.8,6.4,-18.7,1395.4,-34.1,172.7,136.6,10.9,0.255,0.33,44.1,33.9,15.3,6.8,22.0
101,2021,나균안,롯데,포크,21.4,129.1,12.6,-15.7,1449.5,-51.5,179.1,131.1,17.5,0.222,0.259,37.9,24.1,17.2,20.7,10.3
102,2021,김대우,롯데,포크,20.0,133.8,9.2,-16.6,1407.6,-53.1,177.5,129.3,10.5,0.226,0.29,46.7,33.3,13.3,6.7,6.7
103,2021,김명신,두산,포크,19.7,124.4,9.0,-22.7,1637.1,-32.0,174.8,129.7,17.7,0.255,0.345,37.8,29.7,13.5,18.9,8.1
104,2021,김영규,NC,포크,19.2,127.4,11.2,12.3,1201.0,50.0,194.8,133.0,14.4,0.205,0.295,38.7,25.8,25.8,9.7,19.4
105,2021,김택형,SSG,포크,18.0,132.1,15.1,21.1,1831.5,76.4,174.0,125.5,17.1,0.216,0.243,44.0,24.0,16.0,16.0,20.0
106,2021,배동현,한화,포크,17.8,126.4,14.9,-4.2,1091.9,-14.8,167.5,133.1,7.8,0.324,0.5,60.9,17.4,17.4,4.3,26.1
107,2021,이인복,롯데,포크,17.3,132.8,7.1,-20.9,1590.0,-29.0,183.7,125.9,2.7,0.188,0.208,72.0,12.0,16.0,0.0,12.0
