,연도,선수,팀,구종,체인지업_구사%,체인지업_구속,체인지업_상하_무브먼트,체인지업_좌우_무브먼트,체인지업_분당_회전수,체인지업_좌우_릴리스포인트,체인지업_상하_릴리스포인트,체인지업_타구_속도,체인지업_상하_각도,체인지업_피안타율,체인지업_피장타율,체인지업_땅볼%,체인지업_라인드라이브%,체인지업_뜬공%,체인지업_팝플라이%,체인지업_강한_타구%
77,2022,장지훈,SSG,체인지업,30.0,126.9,1.7,-21.8,1503.9,-57.2,158.6,139.3,15.3,0.254,0.423,35.8,37.7,17.0,9.4,30.2
78,2022,페냐,한화,체인지업,28.4,134.6,13.6,-19.5,1712.7,-64.5,186.6,122.7,13.3,0.15,0.15,46.4,21.4,21.4,10.7,7.1
79,2022,신정락,한화,체인지업,27.3,114.1,-8.1,-24.7,1546.0,-57.3,108.4,132.5,16.4,0.273,0.432,27.5,35.0,35.0,2.5,7.5
80,2022,원태인,삼성,체인지업,26.1,124.6,20.6,-16.0,1745.4,-39.1,172.4,129.6,24.4,0.193,0.254,27.0,30.6,23.4,18.9,9.9
81,2022,임찬규,LG,체인지업,24.4,125.3,14.7,-22.1,1794.4,-30.4,169.4,131.6,17.1,0.267,0.367,37.2,35.9,12.8,14.1,25.6
82,2022,윤중현,KIA,체인지업,24.1,126.3,3.6,-23.5,1584.7,-89.7,128.3,136.1,14.8,0.34,0.434,31.6,42.1,21.1,5.3,23.7
83,2022,뷰캐넌,삼성,체인지업,23.7,129.8,21.4,-20.2,2044.0,-56.2,184.8,127.4,17.7,0.25,0.391,31.9,35.1,22.3,10.6,16.0
84,2022,박영현,KT,체인지업,23.5,127.4,16.9,-19.0,1770.9,-45.4,159.4,126.3,22.8,0.222,0.289,26.7,33.3,20.0,20.0,10.0
85,2022,김광현,SSG,체인지업,22.7,129.5,21.5,15.2,1818.2,43.9,175.8,127.2,20.5,0.191,0.237,38.6,21.6,20.5,19.3,13.6
86,2022,박윤철,한화,체인지업,21.9,123.8,18.8,-24.2,1996.6,-42.9,170.4,132.7,14.1,0.231,0.269,40.0,35.0,15.0,10.0,10.0
87,2022,양현종,KIA,체인지업,21.9,128.5,16.1,23.2,1923.6,57.8,183.6,135.4,11.8,0.245,0.399,39.4,37.5,18.3,4.8,24.0
88,2022,김윤식,LG,체인지업,21.4,122.4,15.7,15.1,1428.9,29.0,186.1,130.7,18.1,0.202,0.281,40.3,24.2,21.0,14.5,21.0
89,2022,반즈,롯데,체인지업,21.2,126.9,9.7,30.7,2153.0,53.2,168.9,133.3,14.0,0.272,0.344,40.0,30.5,22.9,6.7,11.4
90,2022,수아레즈,삼성,체인지업,20.5,134.4,16.1,-24.3,2085.6,-45.2,179.0,127.2,18.1,0.256,0.316,41.9,29.7,10.8,17.6,12.2
91,2022,소형준,KT,체인지업,20.4,130.0,8.4,-14.8,1236.8,-38.1,172.9,131.5,16.6,0.255,0.357,40.6,23.2,23.2,13.0,17.4
92,2022,주현상,한화,체인지업,19.7,129.1,16.6,-15.1,1570.9,-61.7,176.7,140.5,16.6,0.37,0.574,34.9,32.6,20.9,11.6,34.9
93,2022,스트레일리,롯데,체인지업,19.0,133.4,9.0,-21.2,1658.1,-71.5,180.4,132.6,12.9,0.089,0.111,50.0,33.3,8.3,8.3,16.7
94,2022,박신지,두산,체인지업,18.3,123.1,23.5,-23.8,2184.3,-56.3,178.4,125.4,30.2,0.313,0.438,16.7,29.2,16.7,37.5,4.2
95,2022,김재웅,키움,체인지업,17.6,128.3,30.0,17.4,2341.3,4.6,170.9,124.8,28.4,0.091,0.205,24.0,8.0,40.0,28.0,4.0
96,2022,백정현,삼성,체인지업,17.2,127.1,25.1,14.5,1982.7,51.5,173.2,131.5,17.0,0.18,0.27,35.8,32.1,17.0,15.1,13.2
97,2022,최원태,키움,체인지업,17.1,126.8,21.4,-19.2,1924.0,-36.0,166.0,131.0,18.2,0.256,0.378,38.5,27.7,13.8,20.0,16.9
