,Unnamed: 0,월,일,원정,홈,원정점수,홈점수
140,140,5,9,SSG,KIA,0,3
141,141,5,9,삼성,한화,9,1
142,142,5,9,키움,LG,4,5
143,143,5,10,NC,KT,8,7
144,144,5,10,두산,롯데,0,3
145,145,5,10,SSG,KIA,5,3
146,146,5,10,삼성,한화,1,5
147,147,5,10,키움,LG,11,1
148,148,5,11,NC,KT,4,1
149,149,5,11,두산,롯데,6,7
150,150,5,11,SSG,KIA,5,3
151,151,5,11,삼성,한화,0,4
152,152,5,11,키움,LG,0,1
153,153,5,12,한화,SSG,5,2
154,154,5,12,KIA,두산,1,6
155,155,5,12,LG,삼성,0,4
156,156,5,12,롯데,KT,1,2
157,157,5,12,NC,키움,4,7
158,158,5,13,한화,SSG,5,8
159,159,5,13,KIA,두산,1,5
160,160,5,13,LG,삼성,7,4
161,161,5,13,롯데,KT,5,0
162,162,5,13,NC,키움,2,9
163,163,5,14,한화,SSG,3,3
164,164,5,14,KIA,두산,4,8
165,165,5,14,LG,삼성,8,5
166,166,5,14,롯데,KT,8,3
167,167,5,14,NC,키움,6,4
168,168,5,16,KIA,삼성,8,2
169,169,5,16,KT,LG,12,7
170,170,5,16,롯데,한화,3,1
171,171,5,16,두산,키움,4,1
172,172,5,16,SSG,NC,3,5
173,173,5,17,KIA,삼성,7,6
174,174,5,17,KT,LG,3,7
175,175,5,17,롯데,한화,1,2
176,176,5,17,두산,키움,9,6
177,177,5,17,SSG,NC,4,0
178,178,5,18,KT,LG,5,9
179,179,5,18,롯데,한화,7,3
180,180,5,18,두산,키움,3,7
181,181,5,19,한화,LG,1,3
182,182,5,19,두산,KT,1,6
183,183,5,19,SSG,롯데,5,7
184,184,5,19,삼성,NC,5,4
185,185,5,19,키움,KIA,1,10
186,186,5,20,한화,LG,1,1
187,187,5,20,두산,KT,6,0
188,188,5,20,SSG,롯데,5,0
189,189,5,20,삼성,NC,3,14
190,190,5,20,키움,KIA,2,3
191,191,5,21,한화,LG,1,4
192,192,5,21,두산,KT,3,7
193,193,5,21,SSG,롯데,6,3
194,194,5,21,삼성,NC,2,1
195,195,5,21,키움,KIA,1,0
196,196,5,23,KIA,한화,5,9
197,197,5,23,LG,SSG,9,1
198,198,5,23,NC,롯데,0,2
199,199,5,23,삼성,두산,5,7
200,200,5,23,키움,KT,3,1
201,201,5,24,KIA,한화,4,2
202,202,5,24,LG,SSG,3,5
203,203,5,24,NC,롯데,3,1
204,204,5,24,삼성,두산,6,1
205,205,5,24,키움,KT,1,4
206,206,5,25,KIA,한화,3,4
207,207,5,25,LG,SSG,8,3
208,208,5,25,NC,롯데,1,11
209,209,5,25,삼성,두산,3,4
210,210,5,25,키움,KT,0,3
211,211,5,26,한화,NC,0,11
212,212,5,26,KT,삼성,4,1
213,213,5,26,LG,KIA,5,3
214,214,5,26,롯데,키움,2,0
215,215,5,26,SSG,두산,14,3
216,216,5,27,한화,NC,5,0
217,217,5,27,KT,삼성,5,2
218,218,5,27,LG,KIA,3,6
219,219,5,27,롯데,키움,6,5
220,220,5,28,KT,삼성,4,6
221,221,5,28,LG,KIA,7,1
222,222,5,28,롯데,키움,5,7
223,223,5,30,KT,KIA,1,6
224,224,5,30,롯데,LG,1,3
225,225,5,30,두산,NC,0,5
226,226,5,30,삼성,SSG,2,3
227,227,5,30,키움,한화,1,7
228,228,5,31,KT,KIA,1,7
229,229,5,31,롯데,LG,7,1
230,230,5,31,두산,NC,3,2
231,231,5,31,삼성,SSG,3,2
232,232,5,31,키움,한화,15,3
233,233,6,1,롯데,LG,1,6
234,234,6,1,삼성,SSG,2,14
235,235,6,1,키움,한화,3,7
236,236,6,2,KIA,롯데,2,14
237,237,6,2,NC,LG,9,2
238,238,6,2,두산,KT,10,1
239,239,6,2,삼성,한화,8,7
240,240,6,2,키움,SSG,2,3
241,241,6,3,KIA,롯데,5,6
242,242,6,3,NC,LG,7,3
243,243,6,3,두산,KT,3,13
244,244,6,3,삼성,한화,7,2
245,245,6,3,키움,SSG,1,2
246,246,6,4,KIA,롯데,6,0
247,247,6,4,NC,LG,3,1
248,248,6,4,두산,KT,2,5
249,249,6,4,삼성,한화,5,10
250,250,6,4,키움,SSG,4,3
251,251,6,6,한화,두산,1,4
252,252,6,6,LG,키움,9,1
